YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2025,1,JAN,EDJA,Memmingen,Germany,912,17491.9705548313,2646.532112129005,218320,60900,9353.59375,100,509,110801.0361578,25111.170133300002,909,8523.076289192846,358.528372713624,75210,7230,33989.3939393939,467,870,14910.6171251,2156.140328,Memmingen (EDJA)
2025,1,JAN,EDKA,Aachen,Germany,4,74.36536796566271,64.89795228199432,2140,1980,7758.070617906683,1,2,28.035,21.898799999999998,1,0,0,0,0,23000,1,1,0,0,Aachen (EDKA)
2025,1,JAN,EDKV,Dahlemer Binz,Germany,1,0,0,0,0,19000,1,1,0,0,,,,,,,,,,,Dahlemer Binz (EDKV)
2025,1,JAN,EDLA,Arnsberg Menden,Germany,11,164.05716023124702,14.68682505399573,2120,200,10909.489051094899,5,9,513.773988,30.19747499999999,9,59.14718871762376,1.9893145390473999,620,20,23000,6,8,83.04911199999998,2.334675,Arnsberg Menden (EDLA)
2025,1,JAN,EDLB,Borkenberge,Germany,1,0,0,0,0,6000,1,1,0,0,1,0,0,0,0,6000,1,1,0,0,Borkenberge (EDLB)
2025,1,JAN,EDLD,Dinslaken,Germany,7,10.11923235500184,6.7248675405507,160,120,16000,4,4,1.68084,1.544865,5,0,0,0,0,21000,5,5,0,0,Dinslaken (EDLD)
2025,1,JAN,EDLE,Essen Mulheim,Germany,77,436.082507072312,378.841860517585,14020,13320,3072.2802197802193,29,30,150.1501723,133.2871773,5,125.42898509091201,15.900306922814588,1940,280,17989.8395721925,3,4,53.12867500000002,5.977168,Essen Mulheim (EDLE)
2025,1,JAN,EDLI,Bielefeld,Germany,27,247.174084657679,88.84201015991016,4220,2560,21020,14,21,287.303625,11.91465999999999,17,57.266918646508245,0,540,0,23000,14,17,31.257664999999978,0,Bielefeld (EDLI)
2025,1,JAN,EDLM,Marl Loemuhle,Germany,1,0,0,0,0,24000,1,1,0,0,1,0,0,0,0,15000,1,1,0,0,Marl Loemuhle (EDLM)
2025,1,JAN,EDLN,Moenchengladbach,Germany,194,2626.822617839386,1278.9409872131541,48534,31334,2155.613793507559,33,41,2033.706406699999,766.9029382000001,198,1191.609308824319,529.3810021232599,21353,13793,19000,139,164,242.194323,31.655825,Moenchengladbach (EDLN)
2025,1,JAN,EDLP,Paderborn Lippstadt,Germany,185,1625.673982329672,1065.026453256402,32440,26180,3054.189435336976,24,31,4259.753029,3239.4602165,203,708.020197245308,204.490038380389,9492,4872,23000,153,185,938.124009,59.11762499999999,Paderborn Lippstadt (EDLP)
2025,1,JAN,EDLS,Stadtlohn Vreden,Germany,6,6.735641476550729,6.735641476550729,200,200,8000,4,4,0.6698999999999999,0.6698999999999999,,,,,,,,,,,Stadtlohn Vreden (EDLS)
2025,1,JAN,EDLV,Weeze,Germany,388,6921.469330787286,967.193621527816,79020,26880,24451.388888888898,87,247,22831.0933454,4442.9252872,389,1834.2005335654471,210.52035967543802,18445,4605,35000,258,371,3755.3048049999993,619.594326,Weeze (EDLV)
2025,1,JAN,EDLW,Dortmund,Germany,838,8554.15526546681,2857.873512682404,119580,61380,4006.025705364113,163,294,62881.3558885,33099.385266499994,837,5115.435017612598,285.92649473028,45320,6740,35000,516,787,6192.143444299999,538.256508,Dortmund (EDLW)
2025,1,JAN,EDMA,Augsburg,Germany,188,3617.550023150763,2491.184106710787,76521,62481,3883.529874213836,16,33,2854.0797134999993,1701.479606,188,1030.1455579355702,623.954156613608,26616,20496,18000,128,155,770.584024,198.583199,Augsburg (EDMA)
2025,1,JAN,EDMB,Biberach AD Riss,Germany,1,0,0,0,0,23000,1,1,0,0,,,,,,,,,,,Biberach AD Riss (EDMB)
2025,1,JAN,EDME,Eggenfelden,Germany,17,251.624245484416,236.46057431343803,9160,8600,3469.4444444444443,1,1,53.18304500000001,50.902965,21,118.3896312541,118.3896312541,3988,3988,6000,13,13,14.380804999999999,14.380804999999999,Eggenfelden (EDME)
